store_id,sku_id,baseline_median,baseline_mad
1,P00163,10.04,0.01
1,P00164,2.44,0.01
1,P00165,7.04,0.01
1,P00166,3.93,0.01
1,P00167,3.56,0.01
1,P00168,3.18,0.01
1,P00169,4.46,0.01
1,P00170,8.81,0.01
1,P00171,2.89,0.01
1,P00172,9.27,0.01
1,P00173,4.83,0.01
1,P00174,3.0,0.01
1,P00175,7.77,0.01
1,P00176,8.04,0.01
1,P00177,8.14,0.01
1,P00178,3.78,0.01
1,P00179,3.66,0.01
1,P00180,3.04,0.01
1,P00181,4.48,0.01
1,P00182,3.6,0.01
1,P00183,13.76,0.01
1,P00184,7.61,0.01
1,P00185,3.69,0.01
1,P00186,3.68,0.01
1,P00187,9.01,0.01
1,P00188,8.04,0.01
1,P00189,7.05,0.01
1,P00193,4.01,0.01
1,P00194,9.75,0.01
1,P00195,3.49,0.01
1,P00196,2.0,0.01
1,P00197,3.83,0.01
1,P00198,2.41,0.01
1,P00199,3.88,0.01
1,P00201,8.51,0.01
1,P00202,2.64,0.01
1,P00203,2.67,0.01
1,P00204,7.42,0.01
1,P00205,4.53,0.01
1,P00206,2.46,0.01
1,P00207,2.51,0.01
1,P00208,4.27,0.01
1,P00209,7.43,0.01
1,P00210,8.65,0.01
1,P00211,7.96,0.01
1,P00212,2.33,0.01
1,P00213,4.34,0.01
1,P00214,7.32,0.01
1,P00215,2.43,0.01
1,P00216,2.76,0.01
1,P00217,2.64,0.01
1,P00218,4.51,0.01
1,P00219,4.02,0.01
1,P00220,10.19,0.01
1,P00221,5.14,0.01
1,P00222,3.71,0.01
1,P00223,7.78,0.01
1,P00224,3.68,0.01
1,P00225,2.06,0.01
1,P00226,5.26,0.01
1,P00227,2.72,0.01
1,P00228,10.39,0.01
1,P00229,2.8,0.01
1,P00230,5.09,0.01
1,P00231,2.52,0.01
1,P00233,10.74,0.01
1,P00234,3.56,0.01
1,P00235,5.21,0.01
1,P00236,4.91,0.01
1,P00237,3.4,0.01
1,P00238,16.35,0.01
1,P00239,8.01,0.01
1,P00240,4.55,0.01
1,P00241,3.13,0.01
1,P00242,4.09,0.01
1,P00243,3.61,0.01
1,P00244,5.12,0.01
1,P00245,2.73,0.01
1,P00246,3.44,0.01
1,P00247,8.84,0.01
1,P00248,7.21,0.01
1,P00249,20.09,0.01
1,P00250,13.96,0.01
1,P00251,4.7,0.01
1,P00252,12.67,0.01
1,P00253,7.82,0.01
1,P00254,4.19,0.01
1,P00255,6.08,0.01
1,P00256,3.59,0.01
1,P00257,18.03,0.01
1,P00258,8.5,0.01
1,P00259,1.63,0.01
1,P00260,6.41,0.01
1,P00261,2.39,0.01
1,P00262,2.44,0.01
1,P00263,3.29,0.01
1,P00264,7.12,0.01
1,P00265,2.95,0.01
1,P00267,3.5,0.01
1,P00269,2.92,0.01
1,P00270,6.18,0.01
1,P00271,13.07,0.01
1,P00272,6.05,0.01
1,P00273,5.88,0.01
1,P00274,12.66,0.01
1,P00275,8.75,0.01
1,P00276,11.36,0.01
1,P00277,2.63,0.01
1,P00278,2.16,0.01
1,P00279,4.11,0.01
1,P00280,4.22,0.01
1,P00281,4.04,0.01
1,P00282,3.24,0.01
1,P00283,2.91,0.01
1,P00284,1.97,0.01
1,P00285,7.45,0.01
1,P00287,5.1,0.01
1,P00288,4.58,0.01
1,P00289,10.67,0.01
1,P00290,8.1,0.01
1,P00291,12.23,0.01
1,P00292,7.26,0.01
1,P00293,2.7,0.01
1,P00294,6.2,0.01
1,P00295,5.04,0.01
1,P00296,5.64,0.01
1,P00297,5.64,0.01
1,P00298,10.36,0.01
1,P00299,2.55,0.01
1,P00300,3.1,0.01
1,P00301,3.04,0.01
1,P00302,3.25,0.01
1,P00303,2.83,0.01
1,P00305,7.79,0.01
1,P00306,3.02,0.01
1,P00307,2.56,0.01
1,P00308,7.24,0.01
1,P00309,2.97,0.01
1,P00310,3.46,0.01
1,P00311,2.33,0.01
1,P00312,3.54,0.01
1,P00314,1.65,0.01
1,P00315,2.12,0.01
1,P00316,9.11,0.01
1,P00317,3.86,0.01
1,P00318,2.6,0.01
1,P00319,7.42,0.01
1,P00320,17.21,0.01
1,P00321,13.86,0.01
1,P00322,6.65,0.01
1,P00323,3.29,0.01
1,P00324,6.88,0.01
1,P00325,6.64,0.01
1,P00326,2.4,0.01
1,P00327,4.9,0.01
1,P00328,2.26,0.01
1,P00329,2.76,0.01
1,P00330,3.15,0.01
1,P00331,8.7,0.01
1,P00332,6.45,0.01
1,P00333,4.81,0.01
1,P00334,2.72,0.01
1,P00335,3.01,0.01
1,P00336,12.16,0.01
1,P00337,7.38,0.01
1,P00339,2.07,0.01
1,P00340,4.66,0.01
1,P00341,2.93,0.01
1,P00342,4.41,0.01
1,P00343,2.23,0.01
1,P00344,9.7,0.01
1,P00345,4.07,0.01
1,P00346,3.11,0.01
1,P00348,6.16,0.01
1,P00349,2.8,0.01
1,P00350,3.52,0.01
1,P00351,3.63,0.01
1,P00352,2.38,0.01
1,P00353,6.65,0.01
1,P00354,5.6,0.01
1,P00355,1.92,0.01
1,P00357,3.22,0.01
1,P00359,3.08,0.01
1,P00360,9.59,0.01
1,P00361,2.87,0.01
1,P00363,3.72,0.01
1,P00364,10.56,0.01
1,P00365,2.73,0.01
1,P00366,8.72,0.01
1,P00367,8.11,0.01
1,P00368,5.26,0.01
1,P00369,6.25,0.01
1,P00370,4.04,0.01
1,P00371,9.32,0.01
1,P00372,1.65,0.01
1,P00373,2.9,0.01
1,P00374,2.53,0.01
1,P00375,6.09,0.01
1,P00376,4.12,0.01
1,P00377,3.31,0.01
1,P00378,2.96,0.01
1,P00379,5.56,0.01
1,P00380,3.31,0.01
1,P00381,8.41,0.01
1,P00382,1.9,0.01
1,P00384,3.04,0.01
1,P00386,11.57,0.01
1,P00388,2.62,0.01
1,P00389,4.22,0.01
1,P00390,9.47,0.01
1,P00391,4.1,0.01
1,P00392,1.49,0.01
1,P00393,2.11,0.01
1,P00394,5.35,0.01
1,P00395,15.16,0.01
1,P00396,9.62,0.01
1,P00397,4.19,0.01
1,P00398,3.02,0.01
1,P00400,3.96,0.01
1,P00401,4.24,0.01
1,P00402,3.64,0.01
1,P00403,7.31,0.01
1,P00404,6.01,0.01
1,P00405,4.06,0.01
1,P00406,4.16,0.01
1,P00407,2.71,0.01
1,P00409,10.53,0.01
1,P00410,15.6,0.01
1,P00411,2.03,0.01
1,P00412,2.91,0.01
1,P00413,5.35,0.01
1,P00414,5.35,0.01
1,P00415,5.24,0.01
1,P00416,4.42,0.01
1,P00417,3.6,0.01
1,P00418,3.11,0.01
1,P00419,7.02,0.01
1,P00420,2.93,0.01
1,P00421,2.61,0.01
1,P00422,2.87,0.01
1,P00423,2.62,0.01
1,P00424,5.35,0.01
1,P00426,2.35,0.01
1,P00427,7.76,0.01
1,P00428,6.75,0.01
1,P00429,9.59,0.01
1,P00430,4.47,0.01
1,P00431,4.1,0.01
1,P00432,2.54,0.01
1,P00433,9.11,0.01
1,P00434,2.09,0.01
1,P00435,3.0,0.01
1,P00436,2.46,0.01
1,P00437,9.4,0.01
1,P00438,5.86,0.01
1,P00439,13.58,0.01
1,P00440,2.62,0.01
1,P00441,5.2,0.01
1,P00442,6.19,0.01
1,P00443,9.33,0.01
1,P00444,2.1,0.01
1,P00445,11.9,0.01
1,P00446,14.01,0.01
1,P00447,14.32,0.01
1,P00448,3.04,0.01
1,P00449,4.09,0.01
1,P00450,2.36,0.01
1,P00451,11.78,0.01
1,P00452,4.67,0.01
1,P00453,2.75,0.01
1,P00454,10.48,0.01
1,P00455,4.93,0.01
1,P00456,2.8,0.01
1,P00457,10.02,0.01
1,P00458,3.69,0.01
1,P00459,3.05,0.01
1,P00460,15.61,0.01
1,P00461,2.97,0.01
1,P00462,3.56,0.01
1,P00463,5.69,0.01
1,P00464,2.64,0.01
1,P00465,6.28,0.01
1,P00466,3.24,0.01
1,P00467,4.11,0.01
1,P00468,9.6,0.01
1,P00469,5.03,0.01
1,P00470,3.15,0.01
1,P00471,8.55,0.01
1,P00472,3.12,0.01
1,P00473,8.17,0.01
1,P00474,4.57,0.01
1,P00475,3.08,0.01
1,P00476,4.27,0.01
1,P00477,8.05,0.01
1,P00478,5.75,0.01
1,P00479,6.3,0.01
1,P00480,3.73,0.01
1,P00481,5.45,0.01
1,P00482,2.89,0.01
1,P00483,3.47,0.01
1,P00484,12.72,0.01
1,P00485,10.23,0.01
1,P00486,4.27,0.01
1,P00487,6.04,0.01
1,P00488,13.2,0.01
1,P00489,3.13,0.01
1,P00490,6.79,0.01
1,P00491,2.56,0.01
1,P00492,2.63,0.01
1,P00493,2.98,0.01
1,P00494,8.75,0.01
1,P00496,3.9,0.01
1,P00497,2.18,0.01
1,P00498,4.1,0.01
1,P00499,5.89,0.01
1,P00500,18.8,0.01
1,P00501,3.86,0.01
1,P00502,2.27,0.01
1,P00503,8.59,0.01
1,P00504,2.72,0.01
1,P00505,2.87,0.01
1,P00506,2.05,0.01
1,P00507,8.93,0.01
1,P00508,4.7,0.01
1,P00509,2.2,0.01
1,P00510,3.17,0.01
1,P00511,22.57,0.01
1,P00512,2.19,0.01
1,P00513,5.34,0.01
1,P00514,11.11,0.01
1,P00515,8.11,0.01
1,P00516,4.62,0.01
1,P00517,5.52,0.01
1,P00518,4.54,0.01
1,P00519,8.48,0.01
1,P00520,4.7,0.01
1,P00521,4.32,0.01
1,P00522,3.63,0.01
1,P00523,13.16,0.01
1,P00524,3.17,0.01
1,P00525,4.2,0.01
1,P00526,8.09,0.01
1,P00527,3.53,0.01
1,P00530,9.64,0.01
1,P00531,2.91,0.01
1,P00532,3.67,0.01
1,P00533,5.37,0.01
1,P00534,2.62,0.01
1,P00535,12.41,0.01
1,P00536,5.04,0.01
1,P00537,3.91,0.01
1,P00538,3.3,0.01
1,P00539,4.44,0.01
1,P00540,3.44,0.01
1,P00541,2.79,0.01
1,P00542,5.19,0.01
1,P00543,3.49,0.01
1,P00544,9.55,0.01
1,P00546,9.95,0.01
1,P00547,7.06,0.01
1,P00548,7.8,0.01
1,P00549,2.73,0.01
1,P00550,5.05,0.01
1,P00551,3.77,0.01
1,P00552,3.82,0.01
1,P00553,1.83,0.01
1,P00554,5.02,0.01
1,P00555,7.63,0.01
1,P00556,3.92,0.01
1,P00558,9.76,0.01
1,P00559,3.15,0.01
1,P00560,4.18,0.01
1,P00561,3.38,0.01
1,P00562,5.49,0.01
1,P00563,9.29,0.01
1,P00564,10.12,0.01
1,P00565,2.24,0.01
1,P00566,4.99,0.01
1,P00567,3.13,0.01
1,P00568,1.91,0.01
1,P00569,5.48,0.01
1,P00570,3.89,0.01
1,P00571,2.75,0.01
1,P00572,3.46,0.01
1,P00573,8.99,0.01
1,P00574,5.99,0.01
1,P00575,3.79,0.01
1,P00576,4.03,0.01
1,P00577,3.29,0.01
1,P00578,2.95,0.01
1,P00579,2.34,0.01
1,P00580,8.39,0.01
1,P00581,3.03,0.01
1,P00582,8.08,0.01
1,P00583,5.68,0.01
1,P00584,3.78,0.01
1,P00585,12.18,0.01
1,P00586,5.53,0.01
1,P00587,15.01,0.01
1,P00588,8.2,0.01
1,P00589,11.12,0.01
1,P00590,3.68,0.01
1,P00591,4.63,0.01
1,P00592,4.2,0.01
1,P00593,6.8,0.01
1,P00595,2.85,0.01
1,P00596,6.93,0.01
1,P00597,9.24,0.01
1,P00598,13.38,0.01
1,P00599,8.08,0.01
1,P00600,3.61,0.01
1,P00601,2.34,0.01
1,P00602,5.93,0.01
1,P00603,5.32,0.01
1,P00604,13.34,0.01
1,P00605,3.17,0.01
1,P00607,5.89,0.01
1,P00608,4.46,0.01
1,P00609,7.65,0.01
1,P00610,1.69,0.01
1,P00611,17.36,0.01
1,P00612,4.24,0.01
1,P00613,3.96,0.01
1,P00614,3.74,0.01
1,P00615,2.98,0.01
1,P00616,8.04,0.01
1,P00617,3.03,0.01
1,P00619,2.28,0.01
1,P00621,3.26,0.01
1,P00622,10.69,0.01
1,P00623,8.9,0.01
1,P00624,2.82,0.01
1,P00625,6.63,0.01
1,P00626,5.8,0.01
1,P00627,3.05,0.01
1,P00628,2.25,0.01
1,P00629,2.75,0.01
1,P00630,6.41,0.01
1,P00631,3.23,0.01
1,P00632,5.04,0.01
1,P00633,3.88,0.01
1,P00635,3.93,0.01
1,P00636,6.94,0.01
1,P00637,4.2,0.01
1,P00638,4.41,0.01
1,P00639,3.77,0.01
1,P00640,7.63,0.01
1,P00641,11.8,0.01
1,P00642,3.38,0.01
1,P00643,5.94,0.01
1,P00644,2.7,0.01
1,P00645,5.99,0.01
1,P00646,7.26,0.01
1,P00647,4.35,0.01
1,P00648,10.19,0.01
1,P00649,14.59,0.01
1,P00650,3.45,0.01
1,P00651,3.3,0.01
1,P00652,4.71,0.01
1,P00653,10.53,0.01
1,P00654,2.63,0.01
1,P00655,2.46,0.01
1,P00656,13.03,0.01
1,P00657,13.47,0.01
1,P00658,3.92,0.01
1,P00659,3.37,0.01
1,P00660,1.84,0.01
1,P00661,2.78,0.01
1,P00662,4.94,0.01
1,P00663,2.39,0.01
1,P00664,7.03,0.01
1,P00665,11.92,0.01
1,P00666,2.43,0.01
1,P00667,5.11,0.01
1,P00668,5.03,0.01
1,P00669,4.52,0.01
1,P00670,8.37,0.01
1,P00671,3.83,0.01
1,P00672,2.31,0.01
1,P00673,2.47,0.01
1,P00674,5.3,0.01
1,P00675,8.48,0.01
1,P00676,13.82,0.01
1,P00677,10.88,0.01
1,P00678,3.22,0.01
1,P00679,5.38,0.01
1,P00680,2.33,0.01
1,P00681,5.47,0.01
1,P00682,3.42,0.01
1,P00683,10.06,0.01
1,P00684,2.36,0.01
1,P00685,1.96,0.01
1,P00687,6.16,0.01
1,P00688,2.15,0.01
1,P00690,3.91,0.01
1,P00691,2.64,0.01
1,P00692,9.84,0.01
1,P00693,8.25,0.01
1,P00694,3.44,0.01
1,P00695,5.45,0.01
1,P00696,2.12,0.01
1,P00697,2.56,0.01
1,P00698,2.52,0.01
1,P00699,4.18,0.01
1,P00700,3.42,0.01
1,P00701,5.68,0.01
1,P00702,5.13,0.01
1,P00703,14.06,0.01
1,P00704,2.77,0.01
1,P00705,12.13,0.01
1,P00706,7.71,0.01
1,P00707,3.04,0.01
1,P00708,2.49,0.01
1,P00709,3.68,0.01
1,P00710,9.04,0.01
1,P00711,6.92,0.01
1,P00712,6.76,0.01
1,P00714,4.66,0.01
1,P00715,4.54,0.01
1,P00716,5.36,0.01
1,P00717,8.48,0.01
1,P00718,2.03,0.01
1,P00719,1.82,0.01
1,P00720,9.88,0.01
1,P00721,13.67,0.01
1,P00722,6.66,0.01
1,P00723,4.02,0.01
1,P00724,4.59,0.01
1,P00725,7.3,0.01
1,P00726,5.62,0.01
1,P00727,2.08,0.01
1,P00728,8.85,0.01
1,P00729,9.13,0.01
1,P00730,6.01,0.01
1,P00731,4.06,0.01
1,P00732,6.73,0.01
1,P00733,2.62,0.01
1,P00734,8.33,0.01
1,P00735,10.74,0.01
1,P00736,11.43,0.01
1,P00737,5.75,0.01
1,P00739,5.06,0.01
1,P00740,3.41,0.01
1,P00741,13.22,0.01
1,P00742,4.66,0.01
1,P00743,7.14,0.01
1,P00744,11.71,0.01
1,P00745,3.74,0.01
1,P00746,9.75,0.01
1,P00747,11.49,0.01
1,P00748,6.62,0.01
1,P00749,6.04,0.01
1,P00750,6.49,0.01
1,P00751,7.95,0.01
1,P00752,4.29,0.01
1,P00753,9.02,0.01
1,P00755,3.01,0.01
1,P00756,11.45,0.01
1,P00757,4.06,0.01
1,P00758,7.42,0.01
1,P00759,3.05,0.01
1,P00760,2.14,0.01
1,P00761,1.85,0.01
1,P00762,2.9,0.01
1,P00763,11.38,0.01
1,P00764,11.61,0.01
1,P00765,3.63,0.01
1,P00766,2.3,0.01
1,P00767,6.86,0.01
1,P00768,11.13,0.01
1,P00769,3.12,0.01
1,P00770,8.01,0.01
1,P00771,3.17,0.01
1,P00772,2.07,0.01
1,P00773,2.49,0.01
1,P00774,2.36,0.01
1,P00775,5.15,0.01
1,P00776,4.84,0.01
1,P00777,7.79,0.01
1,P00778,1.31,0.01
1,P00779,10.47,0.01
1,P00780,8.82,0.01
1,P00781,3.98,0.01
1,P00782,6.94,0.01
1,P00783,5.39,0.01
1,P00784,5.77,0.01
1,P00785,7.16,0.01
1,P00786,3.61,0.01
1,P00787,6.39,0.01
1,P00788,4.01,0.01
1,P00789,2.96,0.01
1,P00790,5.84,0.01
1,P00791,4.15,0.01
1,P00792,3.98,0.01
1,P00793,7.72,0.01
1,P00794,5.59,0.01
1,P00795,4.85,0.01
1,P00796,3.69,0.01
1,P00797,2.8,0.01
1,P00798,2.95,0.01
1,P00799,8.21,0.01
1,P00800,3.67,0.01
1,P00801,6.43,0.01
1,P00802,1.96,0.01
1,P00803,1.92,0.01
1,P00804,7.43,0.01
1,P00805,16.14,0.01
1,P00806,4.19,0.01
1,P00807,3.85,0.01
1,P00808,2.9,0.01
1,P00809,2.31,0.01
1,P00810,7.51,0.01
1,P00811,7.28,0.01
1,P00812,10.31,0.01
1,P00813,5.11,0.01
1,P00814,8.2,0.01
1,P00815,3.66,0.01
1,P00816,13.62,0.01
1,P00817,7.3,0.01
1,P00818,9.73,0.01
1,P00819,4.62,0.01
1,P00820,3.98,0.01
1,P00821,3.31,0.01
1,P00823,14.88,0.01
1,P00824,3.03,0.01
1,P00825,2.4,0.01
1,P00826,8.59,0.01
1,P00827,2.83,0.01
1,P00828,10.82,0.01
1,P00829,4.71,0.01
1,P00830,8.68,0.01
1,P00831,2.76,0.01
1,P00832,5.1,0.01
1,P00833,3.41,0.01
1,P00834,8.04,0.01
1,P00835,3.72,0.01
1,P00836,17.25,0.01
1,P00837,7.85,0.01
1,P00838,9.9,0.01
1,P00839,7.73,0.01
1,P00840,5.89,0.01
1,P00841,2.85,0.01
1,P00843,9.87,0.01
1,P00844,7.17,0.01
1,P00845,4.05,0.01
1,P00846,2.58,0.01
1,P00848,3.53,0.01
1,P00849,2.0,0.01
1,P00850,3.14,0.01
1,P00851,5.39,0.01
1,P00852,2.26,0.01
1,P00853,2.46,0.01
1,P00854,1.61,0.01
1,P00855,2.05,0.01
1,P00856,4.8,0.01
1,P00857,5.23,0.01
1,P00858,4.74,0.01
1,P00859,5.15,0.01
1,P00860,19.81,0.01
1,P00861,5.81,0.01
1,P00862,4.06,0.01
1,P00863,4.89,0.01
1,P00864,4.0,0.01
1,P00865,7.14,0.01
1,P00866,7.62,0.01
1,P00867,6.77,0.01
1,P00868,3.33,0.01
1,P00869,3.43,0.01
1,P00870,7.76,0.01
1,P00871,1.94,0.01
1,P00872,5.56,0.01
1,P00873,6.14,0.01
1,P00874,5.11,0.01
1,P00875,7.21,0.01
1,P00876,5.15,0.01
1,P00877,3.11,0.01
1,P00878,1.93,0.01
1,P00879,2.67,0.01
1,P00880,2.35,0.01
1,P00881,2.84,0.01
1,P00882,3.5,0.01
1,P00883,8.94,0.01
1,P00884,5.45,0.01
1,P00885,10.32,0.01
1,P00886,2.81,0.01
1,P00887,4.24,0.01
1,P00888,4.76,0.01
1,P00889,2.44,0.01
1,P00890,7.6,0.01
1,P00891,11.34,0.01
1,P00892,13.15,0.01
1,P00893,5.08,0.01
1,P00894,8.41,0.01
1,P00895,1.91,0.01
1,P00896,5.61,0.01
1,P00897,12.2,0.01
1,P00898,10.24,0.01
1,P00899,6.09,0.01
1,P00900,3.07,0.01
1,P00901,3.66,0.01
1,P00902,8.77,0.01
1,P00903,3.37,0.01
1,P00904,3.47,0.01
1,P00906,2.04,0.01
1,P00907,6.21,0.01
1,P00908,4.06,0.01
1,P00909,3.66,0.01
1,P00910,2.28,0.01
1,P00911,1.91,0.01
1,P00912,3.37,0.01
1,P00913,7.25,0.01
1,P00914,3.13,0.01
1,P00915,2.92,0.01
1,P00916,10.87,0.01
1,P00917,2.87,0.01
1,P00918,9.17,0.01
1,P00919,3.83,0.01
1,P00920,2.87,0.01
1,P00921,2.58,0.01
1,P00922,3.75,0.01
1,P00923,2.79,0.01
1,P00924,4.06,0.01
1,P00925,9.98,0.01
1,P00927,12.93,0.01
1,P00928,3.73,0.01
1,P00929,4.11,0.01
1,P00930,3.14,0.01
1,P00931,12.78,0.01
1,P00932,4.58,0.01
1,P00933,4.58,0.01
1,P00934,14.85,0.01
1,P00936,15.52,0.01
1,P00937,3.68,0.01
1,P00938,8.14,0.01
1,P00939,1.97,0.01
1,P00940,3.89,0.01
1,P00941,8.05,0.01
1,P00942,6.41,0.01
1,P00943,1.92,0.01
1,P00944,6.68,0.01
1,P00945,4.04,0.01
1,P00946,6.69,0.01
1,P00947,2.62,0.01
1,P00948,10.99,0.01
1,P00949,12.52,0.01
1,P00950,9.73,0.01
1,P00951,8.34,0.01
1,P00952,2.91,0.01
1,P00953,9.68,0.01
1,P00954,2.98,0.01
1,P00955,4.94,0.01
1,P00956,9.17,0.01
1,P00957,6.35,0.01
1,P00958,1.99,0.01
1,P00959,16.27,0.01
1,P00960,9.51,0.01
1,P00961,3.32,0.01
1,P00962,3.48,0.01
1,P00963,5.96,0.01
1,P00964,9.42,0.01
1,P00965,6.44,0.01
1,P00966,2.34,0.01
1,P00967,3.73,0.01
1,P00968,4.29,0.01
1,P00969,9.34,0.01
1,P00970,3.38,0.01
1,P00971,3.98,0.01
1,P00972,6.8,0.01
1,P00973,2.93,0.01
1,P00974,8.58,0.01
1,P00975,3.55,0.01
1,P00976,11.26,0.01
1,P00977,3.3,0.01
1,P00978,3.88,0.01
1,P00979,3.5,0.01
1,P00980,3.42,0.01
1,P00981,4.78,0.01
1,P00982,4.04,0.01
1,P00984,3.5,0.01
1,P00985,2.37,0.01
1,P00986,11.81,0.01
1,P00987,6.58,0.01
1,P00988,7.13,0.01
1,P00989,2.99,0.01
1,P00990,2.78,0.01
1,P00991,6.15,0.01
1,P00992,9.19,0.01
1,P00993,3.8,0.01
1,P00994,9.97,0.01
1,P00996,7.67,0.01
1,P00997,4.07,0.01
1,P00998,4.68,0.01
1,P00999,2.78,0.01
1,P01000,3.71,0.01
1,P01001,5.74,0.01
1,P01002,13.6,0.01
1,P01003,1.53,0.01
1,P01004,4.15,0.01
1,P01005,4.55,0.01
1,P01006,4.93,0.01
1,P01007,4.49,0.01
1,P01008,4.86,0.01
1,P01009,8.15,0.01
1,P01010,4.02,0.01
1,P01011,6.02,0.01
1,P01012,2.87,0.01
1,P01013,8.09,0.01
1,P01014,12.22,0.01
1,P01015,2.49,0.01
1,P01016,4.31,0.01
1,P01017,5.84,0.01
1,P01018,2.94,0.01
1,P01019,5.63,0.01
1,P01020,8.81,0.01
1,P01021,3.57,0.01
1,P01022,3.13,0.01
1,P01023,3.7,0.01
1,P01024,2.49,0.01
1,P01025,7.51,0.01
1,P01026,8.23,0.01
1,P01027,7.38,0.01
1,P01028,2.9,0.01
1,P01029,3.93,0.01
1,P01030,9.05,0.01
1,P01031,2.09,0.01
1,P01033,2.67,0.01
1,P01034,10.22,0.01
1,P01035,2.22,0.01
1,P01036,9.34,0.01
1,P01037,13.47,0.01
1,P01038,4.38,0.01
1,P01039,3.8,0.01
1,P01040,2.09,0.01
1,P01041,2.42,0.01
1,P01042,2.55,0.01
1,P01043,3.13,0.01
1,P01044,5.03,0.01
1,P01045,2.44,0.01
1,P01046,12.06,0.01
1,P01047,4.44,0.01
1,P01048,2.69,0.01
1,P01049,6.01,0.01
